name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,3,"PBPP3: beta(50, 20)",beta00,100.5262,100.503,0.7801,0.7751,99.2645,101.8138,0.9998,4083,1704
S4,3,"PBPP3: beta(50, 20)",sigma_b0,0.7858,0.6377,0.6331,0.544,0.062,1.9196,1.0006,1416,1248
S4,3,"PBPP3: beta(50, 20)",beta0,100.3242,100.31,0.6543,0.636,99.2692,101.3992,1.0012,1340,1381
S4,3,"PBPP3: beta(50, 20)",sigma_b,1.7916,1.7346,0.6792,0.6041,0.784,2.981,1.0031,707,697
S4,4,"PBPP3: beta(1, 1)",a0,0.0051,0.0035,0.0052,0.0036,2e-04,0.0156,1.0024,1383,758
S4,4,"PBPP3: beta(1, 1)",sigma,4.0022,3.9914,0.2844,0.2829,3.5501,4.4947,1.0018,2737,1388
S4,4,"PBPP3: beta(1, 1)",beta00,100.0866,100.068,2.8907,2.2328,95.5245,104.6583,1,2189,1023
S4,4,"PBPP3: beta(1, 1)",sigma_b0,2.206,1.5998,2.1282,1.4914,0.1485,6.0848,1.0032,1412,811
S4,4,"PBPP3: beta(1, 1)",beta0,100.2974,100.2975,0.453,0.4396,99.5408,101.053,0.9998,1552,1226
S4,4,"PBPP3: beta(1, 1)",sigma_b,0.5265,0.422,0.4343,0.3904,0.0437,1.3268,0.9996,932,1216
S4,4,"PBPP3: beta(5, 5)",a0,0.0275,0.0254,0.0128,0.0119,0.0105,0.0516,1.0008,2640,1276
S4,4,"PBPP3: beta(5, 5)",sigma,3.9821,3.9655,0.2918,0.2905,3.5391,4.4636,1.002,4275,1606
S4,4,"PBPP3: beta(5, 5)",beta00,100.4631,100.428,1.9317,1.8163,97.3258,103.689,0.9996,2673,1197
S4,4,"PBPP3: beta(5, 5)",sigma_b0,1.5481,1.2097,1.3247,1.1091,0.1291,4.1339,1.002,1539,1043
S4,4,"PBPP3: beta(5, 5)",beta0,100.2899,100.3015,0.4599,0.4593,99.5569,101.0291,1.0006,1777,784
S4,4,"PBPP3: beta(5, 5)",sigma_b,0.5249,0.4309,0.4252,0.3919,0.0404,1.3782,1.0031,1160,1194
S4,4,"PBPP3: beta(10, 10)",a0,0.054,0.0519,0.0171,0.0169,0.0294,0.0855,1.0014,2421,1397
S4,4,"PBPP3: beta(10, 10)",sigma,3.9421,3.9193,0.2921,0.2916,3.4881,4.4452,1.0052,2788,1238
S4,4,"PBPP3: beta(10, 10)",beta00,100.5539,100.5495,1.4655,1.3714,98.1591,102.9531,1.0002,2824,1375
S4,4,"PBPP3: beta(10, 10)",sigma_b0,1.2198,0.9768,1.0132,0.8905,0.0932,3.1576,1.002,1537,1124
S4,4,"PBPP3: beta(10, 10)",beta0,100.2994,100.296,0.4331,0.43,99.5895,101.014,1.0015,2153,1675
S4,4,"PBPP3: beta(10, 10)",sigma_b,0.5353,0.4553,0.4091,0.3981,0.0419,1.316,1.001,1100,821
S4,4,"PBPP3: beta(50, 20)",a0,0.2377,0.2368,0.0312,0.0319,0.1897,0.2911,1.0013,3808,1555
S4,4,"PBPP3: beta(50, 20)",sigma,3.6598,3.6447,0.249,0.2472,3.2827,4.0868,0.9996,3672,1404
S4,4,"PBPP3: beta(50, 20)",beta00,100.6836,100.679,0.8105,0.8065,99.3504,102.0572,0.9998,3813,1685
S4,4,"PBPP3: beta(50, 20)",sigma_b0,0.7821,0.6289,0.6204,0.566,0.0594,1.9915,1.001,1533,960
S4,4,"PBPP3: beta(50, 20)",beta0,100.2968,100.2985,0.416,0.4174,99.632,100.994,1.0045,3263,1464
S4,4,"PBPP3: beta(50, 20)",sigma_b,0.5525,0.4621,0.431,0.4003,0.0441,1.3747,0.9998,1138,1420
S4,5,"PBPP3: beta(1, 1)",a0,0.0052,0.0037,0.0053,0.0038,3e-04,0.016,1,2149,1558
S4,5,"PBPP3: beta(1, 1)",sigma,3.6802,3.6564,0.2753,0.2644,3.2614,4.1739,0.9997,2233,1590
S4,5,"PBPP3: beta(1, 1)",beta00,100.118,100.125,2.7366,2.3998,95.844,104.4751,1.0036,3301,1503
S4,5,"PBPP3: beta(1, 1)",sigma_b0,2.1478,1.5836,2.0956,1.4523,0.1365,5.8374,1.0021,1863,828
S4,5,"PBPP3: beta(1, 1)",beta0,98.9622,98.9713,0.7467,0.751,97.7163,100.1622,1.0003,1344,1454
S4,5,"PBPP3: beta(1, 1)",sigma_b,2.2783,2.1669,0.7088,0.6314,1.3293,3.5945,1.001,937,1264
S4,5,"PBPP3: beta(5, 5)",a0,0.0285,0.0263,0.0132,0.0126,0.0107,0.0533,0.9999,2878,1175
S4,5,"PBPP3: beta(5, 5)",sigma,3.6379,3.6206,0.277,0.2754,3.2237,4.1316,1.0005,2584,1359
S4,5,"PBPP3: beta(5, 5)",beta00,100.3237,100.376,1.7437,1.6143,97.3948,103.1376,1.0041,3673,1272
S4,5,"PBPP3: beta(5, 5)",sigma_b0,1.4017,1.0916,1.2192,1.0106,0.0826,3.7424,1.0014,1622,760
